,Position,Length,Width,Xc,Yc,Xt1,Yt1,Xt2,Yt2,Volume,Strain,date,Nucl Volume,NC,Intensity
0,1,9.31,3.98,79.0,83.0,105.47798872505412,72.19462559676214,51.18795573332139,92.88767558357102,95.57,JL396,2025-05-22,6.972,7.295176310557708,250.0250000000001
1,2,10.03,4.11,67.0,89.0,96.27272397721784,78.08190030251521,37.132679665165014,98.60542725984952,101.97,JL396,2025-05-22,8.036,7.880749239972541,228.44999999999982
2,3,12.77,3.89,93.0,94.0,128.62252707300328,77.94939563047276,55.175343131743944,108.8945272524067,129.54,JL396,2025-05-22,10.273,7.930368997992899,213.14999999999986
3,4,11.89,4.21,66.0,90.0,99.53129160563924,75.74662150158778,31.53855409938948,105.45567140908598,130.45,JL396,2025-05-22,9.501,7.283250287466463,247.2249999999999
4,5,12.91,3.97,64.0,88.0,100.76596653460696,71.61592696389292,27.272308207915582,104.70734859789869,139.53,JL396,2025-05-22,10.087,7.229269691105856,325.5999999999999
5,6,10.74,3.92,68.0,87.0,94.9438222129492,66.7026202986271,40.31482472408815,105.31974905468576,110.54,JL396,2025-05-22,8.777,7.940112176587659,349.0619999999999
6,7,10.63,4.08,67.0,72.0,94.71906158174056,53.94393695605613,39.84374939328447,91.15133020282204,113.72,JL396,2025-05-22,9.093,7.995954977136828,236.11200000000008
7,8,11.14,4.14,83.0,99.0,115.10144947230012,86.77942330694941,50.419448388604984,112.20556607003608,121.33,JL396,2025-05-22,8.629,7.112008571664057,169.0880000000002
8,9,11.5,3.9,77.0,84.0,110.45037885997615,70.70584574035267,44.72558609377754,99.36141441103597,117.87,JL396,2025-05-22,9.499,8.058878425383897,243.32399999999984
9,10,11.12,4.61,73.0,85.0,105.81789940101837,96.17451712070309,39.95224994025395,74.30956294486029,126.3,JL396,2025-05-22,9.432,7.467933491686461,230.61300000000028
10,11,10.03,4.02,46.0,46.0,74.74637471042813,33.922739303954316,17.469391100945263,59.18352212236737,107.93,JL396,2025-05-22,8.621,7.987584545538776,327.11300000000006
