,Position,Length,Width,Xc,Yc,Xt1,Yt1,Xt2,Yt2,Volume,Strain,date
0,1,9.31,3.98,79,83,105.47798872505412,72.19462559676214,51.18795573332139,92.88767558357102,95.57,JL396,2025-05-22
1,2,10.03,4.11,67,89,96.27272397721784,78.08190030251521,37.132679665165014,98.60542725984953,101.97,JL396,2025-05-22
2,3,12.77,3.89,93,94,128.62252707300328,77.94939563047276,55.175343131743944,108.8945272524067,129.54,JL396,2025-05-22
3,4,11.89,4.21,66,90,99.53129160563923,75.74662150158778,31.53855409938948,105.45567140908598,130.45,JL396,2025-05-22
4,5,12.91,3.97,64,88,100.76596653460697,71.61592696389292,27.272308207915586,104.70734859789869,139.53,JL396,2025-05-22
5,6,10.74,3.92,68,87,94.94382221294919,66.7026202986271,40.31482472408815,105.31974905468577,110.54,JL396,2025-05-22
6,7,10.63,4.08,67,72,94.71906158174055,53.94393695605613,39.84374939328447,91.15133020282205,113.72,JL396,2025-05-22
7,8,11.14,4.14,83,99,115.10144947230012,86.77942330694941,50.419448388604984,112.20556607003607,121.33,JL396,2025-05-22
8,9,11.5,3.9,77,84,110.45037885997615,70.70584574035267,44.72558609377754,99.36141441103595,117.87,JL396,2025-05-22
9,10,11.12,4.61,73,85,105.81789940101837,96.17451712070307,39.95224994025395,74.30956294486029,126.3,JL396,2025-05-22
10,11,10.03,4.02,46,46,74.74637471042813,33.922739303954316,17.469391100945263,59.18352212236737,107.93,JL396,2025-05-22
11,12,10.31,4.69,51,71,78.99430120647887,55.3310339202866,23.069610194975382,87.06301991656271,122.64,JL396,2025-05-22
12,13,11.81,4.19,85,65,117.94144181512428,49.23824562066957,52.796995066728414,83.48968439111272,130.81,JL396,2025-05-22
13,14,12.26,3.84,59,75,90.636798830549,54.0816919026173,25.69810351740562,94.5194941552958,131.17,JL396,2025-05-22
14,15,13.51,3.86,66,88,103.57007876842286,68.57516017818185,29.568645071268854,108.53261018147565,149.37,JL396,2025-05-22
15,16,12.14,3.9,92,53,125.77591395653955,35.27720201229654,59.00440304341188,71.15484589226824,131.22,JL396,2025-05-22
16,17,11.17,4.1,66,70,94.30110595770799,50.46431663777542,37.34246615151932,90.63648799343979,115.76,JL396,2025-05-22
17,18,12.17,4.3,79,117,113.01365132236566,100.51283431382008,45.32215873960365,135.0651400533489,141.06,JL396,2025-05-22
18,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,JL396,2025-05-22
19,20,13.2,3.87,90,90,124.43760851189985,67.90638783720925,54.63447346634058,111.31563037622874,149.8,JL396,2025-05-22
20,21,11.59,4.27,48,78,81.80297355883647,65.35458473618408,14.432280022583427,91.59348052934335,133.11,JL396,2025-05-22
21,22,11.24,4.02,75,81,104.9341873865164,61.98469066765802,45.525767547495825,99.19557149881638,118.91,JL396,2025-05-22
22,23,13.46,4.11,70,115,112.47206669441356,114.8947454258708,28.57620062899501,115.72760623858403,147.17,JL396,2025-05-22
23,24,11.25,4.14,91,119,119.62015799475562,99.8426366654299,60.630707780805324,137.8989733711072,123.72,JL396,2025-05-22
24,25,10.89,3.97,49,110,77.45947660816697,92.02797203115969,18.890073297325166,126.37960948575495,114.77,JL396,2025-05-22
25,26,10.01,4.21,101,113,126.81349991109641,95.77145442893053,74.61616829935544,130.14715184169506,109.31,JL396,2025-05-22
26,27,12.29,3.94,95,105,131.271357436879,93.67040131192698,58.257456234166234,117.1621068941214,132.43,JL396,2025-05-22
27,28,12.1,3.94,64,93,95.33255551130014,72.6815640581483,31.638670975743757,113.21968282026171,126.59,JL396,2025-05-22
28,29,11.36,4.02,62,104,87.4621013732413,79.3299294558136,35.19666776165391,127.23749096120387,121.01,JL396,2025-05-22
29,30,10.14,4.14,90,78,67.92546226545458,54.889052949895905,112.38380527948817,99.9484108730458,108.86,JL396,2025-05-22
30,31,12.1,4.05,71,84,91.5479435204909,51.9664977426448,49.45915916501818,114.40546179137414,129.25,JL396,2025-05-22
31,32,12.47,4.43,74,86,109.63189917769333,71.87467448400409,38.097707205984655,102.46387811788009,144.56,JL396,2025-05-22
32,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,JL396,2025-05-22
33,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,JL396,2025-05-22
34,35,10.35,4.11,67,77,92.70207865396588,57.78915545660219,40.74341691430815,96.17479691566638,115.07,JL396,2025-05-22
35,36,11.81,3.95,83,79,109.04259042247583,52.92987537731598,54.794230881530154,102.52186552810838,122.9,JL396,2025-05-22
36,37,10.39,4.11,63,59,88.31697322236103,39.508849760060514,37.05276157459784,79.14495204236549,112.76,JL396,2025-05-22
37,38,11.58,3.76,97,60,126.38837535484538,41.11031217646813,65.69821478003047,80.21970247346948,123.8,JL396,2025-05-22
38,39,11.61,4.24,98,85,121.63548756896051,57.319395304415835,75.96120348109275,113.62312318331165,130.13,JL396,2025-05-22
39,40,11.23,4.06,63,68,88.8025367002382,44.16947007116396,36.53676976648418,90.73436679419454,116.93,JL396,2025-05-22
40,41,12.19,4.02,76,91,83.83228728724043,53.89353635778452,69.51258430734907,128.4304809327246,124.58,JL396,2025-05-22
41,42,12.17,4.06,68,78,98.50372894607246,55.84545373238396,39.31604777233606,103.20005643662097,129.03,JL396,2025-05-22
